user_id,movie_id,rating
0,2194,7
0,3510,6
0,3574,7
1,2222,8
1,5742,5
1,525,6
2,8448,7
3,1032,6
3,8695,7
4,1013,7
5,8141,6
6,2356,9
6,1355,6
7,1713,8
7,3783,8
8,8306,6
8,1192,6
9,1532,6
10,8641,7
10,4128,8
11,3005,7
11,3379,8
12,3547,8
13,6151,8
14,5963,7
14,9952,5
14,8822,6
15,8470,6
15,34,8
16,2335,7
17,8977,4
18,8666,7
19,134,7
19,9337,7
20,2325,6
20,9363,7
21,975,6
22,8326,7
22,820,8
22,2201,6
23,6431,5
23,3393,7
23,5248,8
24,1042,7
25,8551,5
26,6769,7
26,9868,4
26,4536,5
27,7025,5
27,7270,6
28,1480,7
29,6835,5
30,9696,5
31,6334,5
31,5718,8
31,9748,7
32,1783,7
32,4975,7
32,644,9
33,2765,9
33,8226,5
34,9997,5
34,9278,6
34,2103,7
35,2208,7
36,5624,6
36,6169,5
37,3618,8
37,6609,6
37,7869,5
38,6995,5
38,9616,6
38,3683,7
39,5758,7
40,6566,7
40,9894,4
41,9442,4
41,2890,6
42,5190,7
42,4035,7
42,3582,7
43,3376,8
43,9996,6
44,1409,7
44,4411,6
45,4432,8
46,4210,8
47,55,9
47,7285,8
48,4894,6
49,9993,5
49,1876,8
49,9386,7
50,6688,6
50,6490,8
51,4553,6
51,8298,5
52,4079,7
52,4766,7
52,6044,8
53,1980,6
53,8052,5
53,556,6
54,3036,9
54,6691,6
55,7534,8
55,724,8
56,1460,7
56,4780,6
56,9171,4
57,1004,6
57,8110,6
58,7748,7
58,6724,5
59,9595,5
59,8299,7
59,1964,9
60,4236,6
60,7414,6
61,3224,9
62,5229,5
62,244,10
63,4247,7
63,5339,7
63,7299,7
64,9030,4
65,6004,8
65,9104,7
65,4334,6
66,7960,5
66,6181,5
66,3918,7
67,8979,4
67,6794,8
67,3918,7
68,6834,8
69,1344,7
70,4720,8
70,2647,7
71,4700,5
71,9724,6
72,7547,6
72,7400,6
72,7991,7
73,8945,6
73,1494,7
73,2354,6
74,775,9
74,6768,8
75,5848,7
75,9029,5
76,3129,8
77,5016,6
77,3946,5
77,6769,6
78,7467,7
79,3936,7
80,264,7
80,8427,6
80,3579,6
81,5286,7
82,5233,7
83,5293,8
83,1464,6
83,8229,6
84,1158,6
84,3641,8
84,919,8
85,3574,8
86,3142,9
86,6638,5
86,8934,6
87,5324,8
87,3008,9
87,7691,5
88,4694,8
88,1248,8
88,2917,7
89,6247,7
90,1984,6
90,7819,8
90,6838,7
91,5800,8
91,8279,7
92,528,8
92,3290,8
92,9343,6
93,6089,7
93,9271,6
93,81,8
94,9237,7
94,4424,7
95,6398,8
95,5887,5
95,3976,5
96,6192,7
96,9795,6
97,2172,7
97,8262,7
98,5263,6
98,1441,9
98,4471,7
99,2564,8
99,3118,6
99,6110,8
100,4083,6
101,3318,7
101,8786,5
101,8668,5
102,5657,5
103,3743,6
104,1113,8
104,7363,8
105,2474,7
105,1881,9
105,8988,6
106,947,9
106,807,9
106,4134,8
107,6659,6
107,9511,5
108,8211,5
108,2435,6
108,6220,8
109,4983,5
110,4595,6
111,1178,6
111,5807,7
112,4719,7
112,4863,5
113,7265,6
113,4551,6
113,6517,8
114,2678,9
115,8363,5
116,9699,4
116,9001,7
117,7771,8
117,1263,7
118,1238,8
118,3543,8
119,3482,6
119,916,6
120,1523,7
120,9314,7
120,8250,8
121,6127,5
122,8375,7
123,4090,5
124,4763,6
125,275,8
125,4456,8
125,4174,7
126,7934,7
126,2167,9
127,2181,7
127,7583,6
127,7229,5
128,263,9
128,4751,5
129,2129,8
130,8333,7
130,9487,6
130,7127,5
131,6611,7
131,2051,9
132,1803,9
132,7834,6
